DataSet,Method,Recovery_Ratio,Recovery_Ratio_std,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU,CAU_std,CAU_ci95_lo,CAU_ci95_hi,CAU_pp,CAU_pp_std,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD,RRD_std,RRD_ci95_lo,RRD_ci95_hi,RRD_pp,RRD_pp_std,RRD_pp_ci95_lo,RRD_pp_ci95_hi,extra_recoveries,extra_recoveries_std,CAU_pp_perm_p,N_Runs,N_Valid_CAU_Runs,Modality,Dataset
clin_ARTemis,X_L,0.645,0.4869,0.3506,0.9584,-0.0236,0.0288,-0.043,-0.0023,-2.3596,2.8773,-4.3046,-0.2325,-0.1107,0.1436,-0.1943,-0.0108,-11.068,14.3592,-19.4307,-1.0836,-1.0146,1.2372,0.0769,10,10,Clinical,ARTemis clinical
multi_Trans_ART,BITES,1.3613,0.399,1.0986,1.5851,0.0113,0.013,0.0032,0.0179,1.1282,1.3011,0.3204,1.7947,0.0853,0.0908,0.0259,0.1433,8.5314,9.0798,2.5856,14.3272,2.4708,2.8495,0.016,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,CB,2.154,0.5151,1.8308,2.4101,0.0758,0.0251,0.0617,0.0906,7.5849,2.515,6.17,9.0593,0.2013,0.0671,0.1644,0.2388,20.1339,6.7089,16.4397,23.8827,16.611,5.5078,0.001,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,CF,0.8394,0.2258,0.7003,0.9418,-0.025,0.0313,-0.0417,-0.0073,-2.4952,3.1288,-4.1651,-0.7314,-0.0521,0.0669,-0.0896,-0.0156,-5.2079,6.6856,-8.9616,-1.5649,-5.4645,6.8521,0.002,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,CUTS,1.906,0.322,1.6527,2.1656,0.0596,0.0176,0.0463,0.0734,5.9614,1.7568,4.6284,7.3355,0.1769,0.0446,0.1401,0.2178,17.6877,4.457,14.0068,21.7822,13.0556,3.8474,0.001,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,DR_L,0.8423,0.1234,0.7129,0.976,-0.0137,0.0105,-0.0256,-0.002,-1.3656,1.0452,-2.5644,-0.1972,-0.0443,0.0339,-0.0822,-0.006,-4.4329,3.3853,-8.223,-0.6049,-2.9907,2.2891,0.1219,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,FDR,2.9803,0.4215,2.5264,3.4966,0.1227,0.0191,0.1056,0.1403,12.2734,1.9117,10.5578,14.0283,0.2652,0.0346,0.2306,0.301,26.5233,3.4592,23.0566,30.0962,26.8788,4.1865,0.001,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,R_L,0.5865,0.1431,0.4758,0.681,-0.0355,0.0148,-0.0455,-0.0254,-3.5483,1.4758,-4.548,-2.536,-0.1241,0.0485,-0.1599,-0.0913,-12.415,4.851,-15.9852,-9.1331,-7.7707,3.2319,0.002,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,S_L,1.6242,0.1547,1.4029,1.8634,0.0407,0.0092,0.0281,0.0537,4.0706,0.9219,2.8139,5.3694,0.1358,0.0282,0.0934,0.1795,13.5837,2.8167,9.3385,17.9492,8.9146,2.019,0.001,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,XGB,1.6945,0.3014,1.4499,1.9107,0.0469,0.0145,0.0338,0.0611,4.6948,1.4481,3.3842,6.1148,0.1444,0.0528,0.1015,0.1805,14.4382,5.2789,10.1463,18.0507,10.2816,3.1713,0.001,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_Trans_ART,X_L,1.0276,0.1949,0.8667,1.1863,0.0015,0.0146,-0.0103,0.0129,0.1527,1.4602,-1.0328,1.2881,0.0046,0.0502,-0.0364,0.0461,0.4588,5.0194,-3.6432,4.6113,0.3344,3.1978,0.8571,10,10,,Combined TransNEO + ARTemis multi-omics CV
multi_TransNEO,BITES,1.0935,0.716,0.8164,1.4291,0.003,0.0174,-0.0046,0.0108,0.3049,1.7445,-0.4583,1.083,0.0128,0.1687,-0.0473,0.1053,1.2829,16.8655,-4.7289,10.5264,0.4483,2.5644,0.8382,10,10,Multi-omics,TransNEO multi-omics
