Dataset,FDR,CB,NN,LR,RF,SVR,XGB,S_L,X_L,DR_L,R_L,CF,CUTS,EP_L,BITES
TransNEO clinical,2.41,2.92,-2.21,-4.0,3.81,0.85,6.29,-0.11,4.81,-2.09,-11.98,7.93,1.59,5.19,1.8
ARTemis clinical,3.32,2.94,0.25,1.08,1.59,1.44,2.94,-1.48,0.58,0.44,1.2,0.58,-2.82,-0.86,
GSE41998,47.07,46.41,3.61,1.79,11.24,28.58,-1.94,-2.48,-9.03,9.75,8.15,-0.22,9.25,12.31,8.04
GSE22226,25.18,24.37,8.12,0.58,-8.35,22.33,-0.22,-2.58,15.61,3.07,2.47,1.25,4.05,12.46,0.93
GSE22358,7.16,4.02,6.59,7.16,3.29,13.37,-25.19,-3.96,3.73,4.36,7.49,-25.19,1.63,5.3,5.58
TransNEO multi-omics,11.71,15.27,3.49,4.31,1.25,4.45,2.85,4.31,4.08,3.14,-1.2,5.84,14.0,19.12,2.95
ARTemis multi-omics,6.77,6.2,1.32,3.47,-1.0,1.92,5.67,2.29,5.42,-8.86,-5.54,-2.27,3.43,6.56,1.0
Combined TransNEO + ARTemis multi-omics CV,26.73,14.46,-8.96,-8.54,7.94,12.0,11.86,10.28,5.65,2.25,-3.83,0.85,9.85,6.46,2.8
TransNEO and ARTemis multi-omics OOD,9.81,3.47,-2.25,-15.67,-1.75,5.91,6.4,5.91,4.27,1.67,-2.86,6.14,1.0,4.0,2.64
