Dataset,FDR,CB,NN,LR,RF,SVR,XGB,S_L,X_L,DR_L,R_L,CF,CUTS,EP_L,BITES
TransNEO clinical,0.0164,0.0199,-0.015,-0.0272,0.0259,0.0058,0.0428,-0.0008,0.0327,-0.0142,-0.0815,0.054,0.0108,0.0353,0.0122
ARTemis clinical,0.0772,0.0683,0.0058,0.025,0.0371,0.0336,0.0683,-0.0345,0.0134,0.0131,0.0353,0.0134,-0.0656,-0.02,
GSE41998,0.1776,0.1752,0.0136,0.0068,0.0424,0.1078,-0.0073,-0.0094,-0.0341,0.0368,0.0307,-0.0008,0.0349,0.0464,0.0303
GSE22226,0.217,0.2101,0.07,0.005,-0.072,0.1925,-0.0019,-0.0222,0.1346,0.033,0.0266,0.0108,0.0349,0.1074,0.008
GSE22358,0.0587,0.033,0.054,0.0587,0.0269,0.1096,-0.2064,-0.0325,0.0306,0.0357,0.0614,-0.2064,0.0134,0.0435,0.0458
TransNEO multi-omics,0.0796,0.1039,0.0237,0.0293,0.0085,0.0302,0.0194,0.0293,0.0277,0.0214,-0.0082,0.0398,0.0952,0.1301,0.02
ARTemis multi-omics,0.0941,0.0861,0.0183,0.0482,-0.0139,0.0266,0.0787,0.0317,0.0752,-0.1527,-0.0956,-0.0316,0.0477,0.1131,0.0139
Combined TransNEO + ARTemis multi-omics CV,0.1221,0.066,-0.0409,-0.039,0.0363,0.0548,0.0542,0.0469,0.0258,0.0103,-0.0175,0.0039,0.045,0.0295,0.0128
TransNEO and ARTemis multi-omics OOD,0.1362,0.0482,-0.0312,-0.2176,-0.0242,0.0821,0.0889,0.0821,0.0593,0.0231,-0.0397,0.0853,0.0139,0.0556,0.0366
