Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,65.0,7.0,1.777,0.559
CB,1,53.0,19.0,1.8634,1.0872
CF,1,40.0,32.0,1.5413,1.8051
CUTS,1,48.0,24.0,1.661,1.6536
DR_L,1,54.0,18.0,1.705,1.5192
FDR,1,41.0,31.0,2.0758,1.1068
R_L,1,56.0,16.0,1.5305,2.1066
S_L,1,55.0,17.0,1.8466,1.0501
XGB,1,40.0,32.0,1.8164,1.4612
X_L,1,44.0,28.0,1.8291,1.3905
