Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,0.559,,1.777,,7.0,65.0,1
CB,1.0872,,1.8634,,19.0,53.0,1
CF,1.8051,,1.5413,,32.0,40.0,1
CUTS,1.6536,,1.661,,24.0,48.0,1
DR_L,1.5192,,1.705,,18.0,54.0,1
FDR,1.1068,,2.0758,,31.0,41.0,1
R_L,2.1066,,1.5305,,16.0,56.0,1
S_L,1.0501,,1.8466,,17.0,55.0,1
XGB,1.4612,,1.8164,,32.0,40.0,1
X_L,1.3905,,1.8291,,28.0,44.0,1
