Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,112.0,4.0,1.5982,1.25
CB,76.0,40.0,2.0789,0.65
CF,83.0,33.0,1.5904,1.5758
CUTS,83.0,33.0,1.6988,1.303
DR_L,73.0,20.0,1.6438,1.4
EP_L,95.0,21.0,1.8105,0.5714
FDR,85.0,31.0,2.0588,0.2903
LR,96.0,20.0,1.6042,1.5
NN,102.0,14.0,1.7255,0.5714
RF,92.0,24.0,1.3804,2.375
R_L,83.0,10.0,1.6506,1.1
SVR,84.0,32.0,2.0238,0.4375
S_L,104.0,12.0,1.5385,2.0
XGB,72.0,44.0,1.625,1.5227
X_L,92.0,24.0,1.8913,0.4167
