Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,112,4,30,2,1.8666666666666667
CB,76,40,5,27,10.260000000000002
CF,83,33,22,10,1.143250688705234
CUTS,83,33,20,12,1.509090909090909
DR_L,73,20,18,8,1.6222222222222225
EP_L,95,21,16,16,4.523809523809524
FDR,85,31,5,27,14.806451612903226
LR,96,20,26,6,1.1076923076923078
NN,102,14,21,11,3.816326530612245
RF,92,24,32,0,0.0
R_L,83,10,21,5,1.9761904761904763
SVR,84,32,7,25,9.375
S_L,104,12,31,1,0.27956989247311825
XGB,72,44,20,12,0.9818181818181817
X_L,92,24,13,19,5.602564102564103
