Arm,N_Covariates,N_SMD_gt_0.1,Pct_SMD_gt_0.1,N_SMD_gt_0.25,Pct_SMD_gt_0.25,Max_Abs_SMD
TP1,74,38,0.5135135135135135,23,0.3108108108108108,5.979130371550699
TP2,74,57,0.7702702702702703,23,0.3108108108108108,3.295017884191656
TP3,74,63,0.8513513513513513,42,0.5675675675675675,5.304984179322041
TP4,74,66,0.8918918918918919,48,0.6486486486486487,7.0178344238091
