Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,110,12,13,7,4.935897435897436
CB,84,38,11,9,1.8086124401913874
CF,27,95,10,10,0.28421052631578947
CUTS,93,29,14,6,1.374384236453202
DR_L,78,44,10,10,1.772727272727273
EP_L,83,39,10,10,2.128205128205128
FDR,95,27,10,10,3.5185185185185186
LR,95,27,10,10,3.5185185185185186
NN,91,31,10,10,2.935483870967742
RF,73,49,10,10,1.489795918367347
R_L,78,44,8,12,2.659090909090909
SVR,92,30,5,15,9.200000000000001
S_L,56,66,11,9,0.6942148760330578
XGB,27,95,10,10,0.28421052631578947
X_L,75,47,10,10,1.5957446808510638
