Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,110.0,12.0,1.7455,0.6667
CB,84.0,38.0,1.6786,1.5526
CF,27.0,95.0,1.1111,1.7895
CUTS,93.0,29.0,1.6774,1.5172
DR_L,78.0,44.0,1.6795,1.5682
EP_L,83.0,39.0,1.7229,1.4615
FDR,95.0,27.0,1.7895,1.1111
LR,95.0,27.0,1.7895,1.1111
NN,91.0,31.0,1.7692,1.2581
RF,73.0,49.0,1.6712,1.5918
R_L,78.0,44.0,1.7821,1.3864
SVR,92.0,30.0,1.8804,0.9
S_L,56.0,66.0,1.4643,1.7879
XGB,27.0,95.0,1.1111,1.7895
X_L,75.0,47.0,1.6933,1.5532
